Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,WSB,NBA,PF,34,0,5.8,0.5,1.4,.348,0.0,0.0,,0.5,1.4,.348,.348,0.2,0.6,.300,0.7,1.0,1.7,0.1,0.2,0.3,0.5,0.8,1.1
1997-98,23,WAS,NBA,C,67,16,16.8,1.3,2.4,.518,0.0,0.0,,1.3,2.4,.518,.518,0.5,1.5,.357,1.7,3.2,4.8,0.3,0.9,1.1,0.4,1.7,3.1
1998-99,24,WAS,NBA,C,46,16,26.8,2.5,4.3,.578,0.0,0.0,,2.5,4.3,.578,.578,1.0,2.9,.356,3.0,5.4,8.3,0.4,1.1,2.0,0.8,2.4,6.0
1999-00,25,ORL,NBA,PF,81,81,24.2,2.1,4.1,.503,0.0,0.0,,2.1,4.1,.503,.503,0.7,1.4,.474,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2.0,4.8
2000-01,26,DET,NBA,C,80,80,34.5,2.7,5.5,.490,0.0,0.1,.250,2.7,5.4,.492,.491,1.0,3.0,.336,3.8,9.4,13.2,1.5,1.3,2.3,1.5,2.4,6.4
2001-02,27,DET,NBA,C,80,80,36.5,3.2,6.0,.531,0.0,0.0,.000,3.2,6.0,.535,.531,1.2,2.9,.423,4.0,9.0,13.0,1.4,1.7,3.5,0.9,2.2,7.6
2002-03,28,DET,NBA,C,73,73,39.4,2.9,6.0,.481,0.0,0.1,.167,2.9,5.9,.485,.482,1.2,2.6,.450,4.0,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9
2003-04,29,DET,NBA,C,81,81,37.7,3.9,9.2,.421,0.0,0.1,.125,3.9,9.1,.424,.422,1.8,3.6,.490,4.0,8.4,12.4,1.7,1.8,3.0,1.5,2.0,9.5
2004-05,30,DET,NBA,C,74,74,36.1,4.0,8.8,.453,0.0,0.1,.111,4.0,8.7,.458,.454,1.8,4.1,.428,3.9,8.2,12.2,1.7,1.4,2.4,1.1,2.1,9.7
2005-06,31,DET,NBA,C,82,82,35.2,2.9,5.7,.510,0.0,0.0,.000,2.9,5.6,.514,.510,1.5,3.6,.416,3.7,7.6,11.3,1.9,1.8,2.2,1.1,2.0,7.3
2006-07,32,CHI,NBA,C,77,77,35.0,2.5,5.5,.453,0.0,0.1,.200,2.5,5.4,.456,.454,1.4,3.5,.408,3.9,6.7,10.7,2.4,1.4,2.0,1.3,2.0,6.4
2007-08,33,TOT,NBA,CPF,72,72,30.6,1.9,4.9,.392,0.0,0.1,.000,1.9,4.8,.397,.392,1.0,2.3,.426,3.3,5.1,8.4,1.5,1.2,1.6,0.9,1.7,4.8
2007-08,33,CHI,NBA,C,50,50,32.5,2.0,5.4,.373,0.0,0.1,.000,2.0,5.3,.378,.373,1.1,2.5,.424,3.5,5.3,8.8,1.8,1.4,1.6,1.0,1.7,5.1
2007-08,33,CLE,NBA,PF,22,22,26.3,1.7,3.7,.457,0.0,0.0,,1.7,3.7,.457,.457,0.9,2.0,.432,2.7,4.7,7.4,0.6,0.9,1.7,0.8,1.6,4.2
2008-09,34,CLE,NBA,PF,56,53,23.5,1.2,2.8,.445,0.0,0.0,,1.2,2.8,.445,.445,0.5,1.1,.422,2.4,4.0,6.5,0.8,0.9,1.3,0.6,1.5,2.9
2009-10,35,DET,NBA,C,69,67,28.6,2.3,4.2,.541,0.0,0.0,.000,2.3,4.2,.545,.541,0.9,2.3,.406,3.6,5.1,8.7,1.5,1.2,1.2,0.9,1.9,5.5
2010-11,36,DET,NBA,C,54,49,22.9,1.2,2.8,.450,0.0,0.0,.500,1.2,2.7,.449,.453,0.4,1.1,.333,2.4,4.1,6.5,1.3,1.0,1.0,0.8,1.5,2.9
2011-12,37,DET,NBA,C,62,11,15.8,0.5,1.4,.395,0.0,0.1,.250,0.5,1.3,.402,.401,0.3,0.8,.340,1.3,3.0,4.3,0.7,0.8,0.8,0.5,1.0,1.4
Career,,,NBA,,1088,912,29.5,2.4,5.0,.474,0.0,0.0,.137,2.4,4.9,.477,.475,1.0,2.5,.414,3.2,6.5,9.6,1.3,1.3,2.0,1.0,1.9,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,DET,NBA,,655,597,32.6,2.7,5.7,.477,0.0,0.1,.143,2.7,5.7,.480,.477,1.2,2.8,.418,3.5,7.6,11.1,1.5,1.4,2.3,1.1,2.0,6.6
3 seasons,,WSBWAS,NBA,,147,32,17.4,1.5,2.8,.528,0.0,0.0,,1.5,2.8,.528,.528,0.6,1.7,.352,1.9,3.3,5.2,0.3,0.8,1.2,0.6,1.7,3.5
2 seasons,,CHI,NBA,,127,127,34.0,2.3,5.5,.422,0.0,0.1,.111,2.3,5.4,.426,.422,1.3,3.1,.413,3.8,6.2,9.9,2.2,1.4,1.9,1.2,1.9,5.9
1 season,,ORL,NBA,,81,81,24.2,2.1,4.1,.503,0.0,0.0,,2.1,4.1,.503,.503,0.7,1.4,.474,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2.0,4.8
2 seasons,,CLE,NBA,,78,75,24.3,1.4,3.0,.449,0.0,0.0,,1.4,3.0,.449,.449,0.6,1.4,.426,2.5,4.2,6.7,0.7,0.9,1.4,0.7,1.5,3.3
